role,skills
Data Scientist,"python,sql,machine learning,statistics,data analysis,pandas,numpy,data visualization"
DevOps Engineer,"aws,docker,kubernetes,ci/cd,automation,linux,terraform,cloud computing"
Backend Developer,"java,python,sql,apis,microservices,git,databases,rest"
Frontend Developer,"javascript,html,css,react,web design,ui/ux,typescript,responsive design"
Full Stack Developer,"javascript,python,react,node.js,sql,html,css,apis,git"
Cloud Architect,"aws,azure,cloud computing,networking,security,terraform,automation,kubernetes"
Machine Learning Engineer,"python,machine learning,tensorflow,pytorch,data structures,algorithms,sql,statistics"
Data Engineer,"python,sql,etl,spark,data pipelines,cloud computing,aws,data structures"
Cybersecurity Analyst,"security,networking,linux,penetration testing,risk assessment,firewalls,cryptography"
Mobile App Developer,"java,kotlin,swift,mobile development,ui/ux,git,apis,android"
QA Engineer,"testing,automation,selenium,python,java,bug tracking,ci/cd,quality assurance"
Systems Administrator,"linux,networking,scripting,automation,windows server,security,troubleshooting"
Database Administrator,"sql,database design,performance tuning,backup recovery,oracle,mysql,postgresql"
Site Reliability Engineer,"linux,automation,monitoring,ci/cd,kubernetes,cloud computing,scripting,incident response"
Business Intelligence Analyst,"sql,data visualization,excel,power bi,tableau,data analysis,reporting"
Software Architect,"system design,java,python,microservices,scalability,design patterns,cloud computing"
Network Engineer,"networking,security,routing,switching,firewalls,troubleshooting,linux"
Game Developer,"c++,unity,game design,graphics programming,algorithms,data structures,git"
UI/UX Designer,"ui/ux,web design,figma,prototyping,user research,html,css,responsive design"
Blockchain Developer,"blockchain,solidity,cryptography,smart contracts,python,security,git"
